cust_nm,cls_nm,io_no,gdi_dt,item_cd,expt_qty
인터네셔널케이엘,의류,I2205230001,20220523,8.80983E+12,100
인터네셔널케이엘,의류,I2205230001,20220523,8.80983E+12,105
NHNWETOO,가방팝,I2205230001,20220523,1000891792557/732492,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792472/732489,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792489/732489,3
NHNWETOO,가방팝,I2206200001,20220620,1000891792489/732489,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792496/732489,4
NHNWETOO,가방팝,I2206200001,20220620,1000891792496/732489,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792502/732489,7
NHNWETOO,가방팝,I2206200001,20220620,1000891792502/732489,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792519/732489,4
NHNWETOO,가방팝,I2206200001,20220620,1000891792519/732489,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792526/732489,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792533/732490,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792540/732491,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792564/732492,5
NHNWETOO,가방팝,I2206200001,20220620,1000891792564/732492,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792571/732492,5
NHNWETOO,가방팝,I2206200001,20220620,1000891792571/732492,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792618/732493,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792625/732493,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792588/732492,5
NHNWETOO,가방팝,I2206200001,20220620,1000891792588/732492,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792595/732492,3
NHNWETOO,가방팝,I2206200001,20220620,1000891792595/732492,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792601/732493,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792632/732494,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792649/732494,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792656/732494,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792663/732495,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792670/732495,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792687/732495,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792694/732496,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792700/732496,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792717/732496,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792724/732496,10
NHNWETOO,가방팝,I2205230001,20220523,1000891792731/732496,5
NHNWETOO,가방팝,I2205230001,20220523,1000891792748/732496,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792755/732497,1
NHNWETOO,가방팝,I2205230001,20220523,1000891792762/732497,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792779/732497,3
NHNWETOO,가방팝,I2205230001,20220523,1000891792786/732497,2
NHNWETOO,가방팝,I2205230001,20220523,1000891792793/732497,2
NHNWETOO,1300K,I2205240001,20220524,215026763131-2,10
NHNWETOO,1300K,I2205240001,20220524,215026763131-1,10
NHNWETOO,1300K,I2205240001,20220524,215026754209-2,10
NHNWETOO,1300K,I2205240001,20220524,215026754209-1,10
NHNWETOO,1300K,I2205240001,20220524,215026759168-4,10
NHNWETOO,1300K,I2205240001,20220524,215026759168-3,10
NHNWETOO,1300K,I2205240001,20220524,215026759168-1,20
NHNWETOO,1300K,I2205240001,20220524,215026759168-2,10
NHNWETOO,1300K,I2205240001,20220524,215026759168-5,10
NHNWETOO,1300K,I2205240001,20220524,215026759173-1,10
NHNWETOO,1300K,I2205240001,20220524,215026759173-2,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-6,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-3,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-8,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-4,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-2,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-5,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-7,10
NHNWETOO,1300K,I2205240002,20220524,215026758019-1,10
NHNWETOO,1300K,I2205240004,20220524,215026762333-0,5
NHNWETOO,1300K,I2205240004,20220524,215026762325-1,5
NHNWETOO,1300K,I2205240004,20220524,215026762325-2,5
NHNWETOO,1300K,I2205240004,20220524,215026762325-3,5
NHNWETOO,1300K,I2205240004,20220524,215026764051-1,5
NHNWETOO,1300K,I2206220001,20220622,215026764051-1,5
NHNWETOO,1300K,I2205240004,20220524,215026764051-2,5
NHNWETOO,1300K,I2206220001,20220622,215026764051-2,5
NHNWETOO,1300K,I2205240003,20220524,215026768403-5,10
NHNWETOO,1300K,I2205240003,20220524,215026768403-4,10
NHNWETOO,1300K,I2205240003,20220524,215026768403-1,10
NHNWETOO,1300K,I2205240003,20220524,215026768403-2,10
NHNWETOO,1300K,I2205240003,20220524,215026768403-3,10
NHNWETOO,1300K,I2205240003,20220524,215026768408-4,10
NHNWETOO,1300K,I2205240003,20220524,215026768408-3,10
NHNWETOO,1300K,I2205240003,20220524,215026768408-1,10
NHNWETOO,1300K,I2205240003,20220524,215026768408-2,10
NHNWETOO,1300K,I2205240003,20220524,215026768408-5,10
NHNWETOO,1300K,I2205240003,20220524,215026768445-2,10
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL1NTBB8035,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD45HG4NTAZ1739,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD45HG2NTAZ1920,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL3NTBB8683,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL4NTBB8840,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL6NTBA3529,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL4PTBC0512,1
NHNWETOO,1300K,I2205240003,20220524,215026768445-5,10
NHNWETOO,1300K,I2205240003,20220524,215026768445-3,10
NHNWETOO,1300K,I2205240003,20220524,215026768445-4,10
NHNWETOO,1300K,I2205240003,20220524,215026768445-1,10
NHNWETOO,1300K,I2205240003,20220524,215026768420-5,10
NHNWETOO,1300K,I2205240003,20220524,215026768420-3,10
NHNWETOO,1300K,I2205240003,20220524,215026768420-1,10
NHNWETOO,1300K,I2205240003,20220524,215026768420-2,10
NHNWETOO,1300K,I2205240003,20220524,215026768420-4,10
(주)브랜디포,기본,I2205270001,20220527,8.10076E+11,540
인터네셔널케이엘,의류,I2205260001,20220526,8.80986E+12,17
SC코리아,잡화,I2205250001,20220525,SC-SL-28,1542
SC코리아,잡화,I2205250001,20220525,SC-SL-24,817
테스트,일반상품,I2207120001,20220712,I221WTS502BKM,10
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL5NTAZ9297,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD10G70NTAY8432,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD10G79PTBB9465,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD53HL6NTAZ9534,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTL10UL8PTBB9986,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTL10UL1PTBC0624,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTE67DF7PTBB2024,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTE67DF0PTBB6819,1
블러썸,블러썸,I2205190005,20220519,BC2204SPSH00908BKS,3
블러썸,블러썸,I2205190006,20220519,BC2204SPNT0461101BES,3
블러썸,블러썸,I2205190006,20220519,BC2204SPNT0461101BEM,3
블러썸,블러썸,I2205190006,20220519,BC2204SPNT0461101BKS,3
블러썸,블러썸,I2205190006,20220519,BC2204SPNT0461101BKM,3
블러썸,블러썸,I2205190001,20220519,BC2203SPJK02201BES,3
블러썸,블러썸,I2205190001,20220519,BC2203SPJK02201BEM,3
블러썸,블러썸,I2205190001,20220519,BC2203SPJK02201NAS,3
블러썸,블러썸,I2205190001,20220519,BC2203SPJK02201NAM,3
블러썸,블러썸,I2205190001,20220519,BC2203SSPT02201BES,3
트라이엄프,트라이엄프,I2205110001,20220513,SMTD40HL2PTBC0718,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD56HR7NTBB8870,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD44G79NTAZ4941,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD44G79NTAZ3935,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD31G73NTAZ9912,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD31G79NTBB7096,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD31G72NTBB7943,1
트라이엄프,트라이엄프,I2205110001,20220513,SMTD31G76NTBB9386,1
NHNWETOO,1300K,I2201110001,20220111,215026540186-2,10
(주)라이프앤휴먼킹,라이프앤휴먼킹,I2206240001,20220624,8.80946E+12,2
(주)라이프앤휴먼킹,라이프앤휴먼킹,I2205260001,20220526,8.80946E+12,10
(주)라이프앤휴먼킹,라이프앤휴먼킹,I2205190001,20220519,8.80946E+12,3000
NHNWETOO,1300K,I2201110001,20220111,215026540186-3,10
NHNWETOO,1300K,I2201110001,20220111,215026540186-4,10
인터네셔널케이엘,의류,I2205170001,20220517,8.80986E+12,23
인터네셔널케이엘,의류,I2205170001,20220517,8.80986E+12,35
인터네셔널케이엘,의류,I2205170001,20220517,8.80986E+12,4
블러썸,블러썸,I2205190001,20220519,BC2203SSPT02201BEM,3
블러썸,블러썸,I2205190001,20220519,BC2203SSPT02201NAS,3
블러썸,블러썸,I2205190001,20220519,BC2203SSPT02201NAM,3
블러썸,블러썸,I2205190008,20220519,BC2204SPNT04534BLS,5
블러썸,블러썸,I2205190008,20220519,BC2204SPNT04534BLM,5
블러썸,블러썸,I2205190008,20220519,BC2204SPNT04534GNS,5
블러썸,블러썸,I2205190008,20220519,BC2204SPNT04534GNM,5
블러썸,블러썸,I2205190008,20220519,BC2204SPNT04534IVS,5
